isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
40,8,1110,780,78,45,-1.8546873026985,1,0.417570999999953,0.0496058024527883,0.780896899999789,0.0139737412527265,1
19,8,1111,360,36,45,-1.8546873026985,1,0.458951499999785,0.0453211000003648,0.359360599999491,0.0139737412527265,1
17,8,1112,320,32,45,-1.8546873026985,1,0.457357199999933,0.0418013999997129,0.316425400000298,0.0139737412527265,1
28,8,1113,540,54,45,-1.8546873026985,1,0.420502900000429,0.0481136000007609,0.539160599999377,0.0139737412527265,1
50,8,1114,980,98,-45,-1.8546873026985,-1,0.577950100000635,0.0441743000001225,0.977548500000012,0.0139737412527265,1
28,8,1115,540,54,45,-1.8546873026985,1,0.508743800000047,0.0428398000003654,0.53676970000015,0.0139737412527265,1
33,8,1116,640,64,-45,-1.8546873026985,1,0.416995499999757,0.0480243999991217,0.638664000000063,0.0139737412527265,0
10,8,1117,180,18,-45,-1.8546873026985,1,0.495356600000378,0.0467564999999013,0.177742100000614,0.0139737412527265,0
35,8,1118,680,68,45,-1.8546873026985,1,0.452656700000261,0.0496945999993841,0.681775799999741,0.0139737412527265,1
13,8,1119,240,24,45,-1.8546873026985,1,0.415117200000168,0.0489454999997179,0.23968799999966,0.0139737412527265,1
2,8,1120,20,2,45,-1.8546873026985,1,0.515423700000611,0.0399607999997897,0.0366052999997919,0.0139737412527265,1
24,8,1121,460,46,-45,-1.8546873026985,-1,0.605705999999373,0.0506599000000278,0.463842000000113,0.0139737412527265,1
36,8,1122,700,70,-45,-1.8546873026985,1,0.46186089999992,0.0406910000001517,0.697034199999507,0.0139737412527265,0
10,8,1123,180,18,45,-1.8546873026985,1,0.498943700000382,0.051056599999356,0.185657800000627,0.0139737412527265,1
30,8,1124,580,58,-45,-1.8546873026985,-1,0.594920199999251,0.0431926000001113,0.578322200000002,0.0139737412527265,1
8,8,1125,140,14,-45,-1.8546873026985,1,0.581466399999954,0.0399489999999787,0.146402000000307,0.0139737412527265,0
12,8,1126,220,22,-45,-1.8546873026985,-1,0.775579600000128,0.0455632000002879,0.218931499999599,0.0139737412527265,1
25,8,1127,480,48,-45,-1.8546873026985,1,0.472192399999585,0.0434683000003133,0.476599100000385,0.0139737412527265,0
20,8,1128,380,38,-45,-1.8546873026985,-1,0.606764899999689,0.0410253999998531,0.376446700000088,0.0139737412527265,1
35,8,1129,680,68,45,-1.8546873026985,1,0.627865299999939,0.0494321999995009,0.682609400000729,0.0139737412527265,1
20,8,1130,380,38,-45,-1.8546873026985,-1,0.485301200000322,0.0399239999997008,0.386641099999906,0.0139737412527265,1
19,8,1131,360,36,-45,-1.8546873026985,-1,0.450324700000237,0.0405725999999049,0.356609600000411,0.0139737412527265,1
28,8,1132,540,54,-45,-1.8546873026985,-1,0.503512400000545,0.0451339000001099,0.539575200000399,0.0139737412527265,1
26,8,1133,500,50,-45,-1.8546873026985,-1,0.327147700000751,0.0495252999999138,0.502750099999503,0.0139737412527265,1
33,8,1134,640,64,45,-1.8546873026985,1,0.568730799999685,0.0505458999996335,0.644326000000547,0.0139737412527265,1
39,8,1135,760,76,-45,-1.8546873026985,-1,0.401938099999825,0.0408585999994102,0.756790200000069,0.0139737412527265,1
31,8,1136,600,60,-45,-1.8546873026985,-1,0.410214300000007,0.0454373000002306,0.599892000000182,0.0139737412527265,1
8,8,1137,140,14,-45,-1.8546873026985,-1,0.620587099999284,0.0431490999999369,0.136343699999998,0.0139737412527265,1
35,8,1138,680,68,-45,-1.8546873026985,1,0.786215600000105,0.0410932999993747,0.676622400000269,0.0139737412527265,0
14,8,1139,260,26,-45,-1.8546873026985,-1,0.676263199999994,0.0416331975466164,0.257801002453562,0.0139737412527265,1
25,8,1140,480,48,45,-1.8546873026985,1,0.391171199999917,0.0510309999999663,0.485543499999949,0.0139737412527265,1
9,8,1141,160,16,-45,-1.8546873026985,-1,0.487954900000659,0.0508485999998811,0.164822299999287,0.0139737412527265,1
15,8,1142,280,28,-45,-1.8546873026985,1,0.608565099999396,0.0423885999998674,0.276689199999964,0.0139737412527265,0
6,8,1143,100,10,-45,-1.8546873026985,-1,0.591511900000114,0.0408510999995997,0.119560300000558,0.0139737412527265,1
13,8,1144,240,24,-45,-1.8546873026985,1,0.425287600000047,0.041946100000132,0.236407299999883,0.0139737412527265,0
19,8,1145,360,36,-45,-1.8546873026985,1,0.466554800000267,0.0406960999998773,0.356723900000361,0.0139737412527265,0
4,8,1146,60,6,45,-1.8546873026985,1,0.540226499999335,0.0400965999997425,0.0756374000002324,0.0139737412527265,1
29,8,1147,560,56,-45,-1.8546873026985,1,0.458250599999701,0.0405689999997776,0.557055000000219,0.0139737412527265,0
47,8,1148,920,92,-45,-1.8546873026985,1,0.449932700000318,0.0502980000001116,0.923816000000443,0.0139737412527265,0
11,8,1149,200,20,-45,-1.8546873026985,1,0.49467359999926,0.0444656999998188,0.196869200000037,0.0139737412527265,0
32,8,1150,620,62,45,-1.8546873026985,1,0.498633399999562,0.0493222999994032,0.619694300000447,0.0139737412527265,1
16,8,1151,300,30,45,-1.8546873026985,1,0.482245600000169,0.0493249000001015,0.300613200000043,0.0139737412527265,1
5,8,1152,80,8,45,-1.8546873026985,1,0.529564700000265,0.0400149000006422,0.102362899999207,0.0139737412527265,1
32,8,1153,620,62,45,-1.8546873026985,1,0.448334900000191,0.04987009999968,0.621557700000267,0.0139737412527265,1
37,8,1154,720,72,-45,-1.8546873026985,1,0.459865000000718,0.0500869000006787,0.721849799999291,0.0139737412527265,0
45,8,1155,880,88,-45,-1.8546873026985,1,0.51470640000025,0.0465491999993901,0.878586599999835,0.0139737412527265,0
33,8,1156,640,64,45,-1.8546873026985,1,0.425395199999912,0.0415424000002531,0.636868800000229,0.0139737412527265,1
14,8,1157,260,26,45,-1.8546873026985,1,0.4836636,0.0513627999998789,0.264747999999599,0.0139737412527265,1
5,8,1158,80,8,-45,-1.8546873026985,1,0.545114499999727,0.0399765000001935,0.102909999999611,0.0139737412527265,0
18,8,1159,340,34,45,-1.8546873026985,-1,0.322755499999403,0.043843299999935,0.337144699999953,0.0139737412527265,0
13,8,1160,240,24,-45,-1.8546873026985,-1,0.535344500000065,0.0437639000001582,0.236509000000297,0.0139737412527265,1
46,8,1161,900,90,-45,-1.8546873026985,-1,0.50033540000004,0.0500700000002325,0.905450499999461,0.0139737412527265,1
7,8,1162,120,12,45,-1.8546873026985,1,0.647311599999739,0.0487906999996994,0.119594800000414,0.0139737412527265,1
12,8,1163,220,22,45,-1.8546873026985,1,0.552191699999639,0.0448855000004187,0.218997900000431,0.0139737412527265,1
31,8,1164,600,60,45,-1.8546873026985,-1,0.507293499999832,0.0449699000000692,0.599711199999547,0.0139737412527265,0
36,8,1165,700,70,-45,-1.8546873026985,-1,0.507329099999879,0.0437335000005987,0.696885099999236,0.0139737412527265,1
47,8,1166,920,92,45,-1.8546873026985,1,0.500408199999583,0.0494995999997627,0.921586200000093,0.0139737412527265,1
38,8,1167,740,74,-45,-1.8546873026985,-1,0.898369300000013,0.0446478000003481,0.73681359999955,0.0139737412527265,1
3,8,1168,40,4,45,-1.8546873026985,1,0.869021999999859,0.0399182000001019,0.0510914999995293,0.0139737412527265,1
14,8,1169,260,26,45,-1.8546873026985,1,0.529855299999326,0.0452054999996108,0.257027000000562,0.0139737412527265,1
44,8,1170,860,86,-45,-1.8546873026985,-1,0.575084900000547,0.0409623999994437,0.855920300000435,0.0139737412527265,1
23,8,1171,440,44,-45,-1.8546873026985,1,0.651330699999562,0.0453906000002462,0.438804800000071,0.0139737412527265,0
24,8,1172,460,46,45,-1.8546873026985,1,0.557567599999857,0.0415569999995569,0.456683400000657,0.0139737412527265,1
1,8,1173,0,0,45,-1.8546873026985,1,0.8271694999994,0.0510537999998633,0.0180522000000565,0.0139737412527265,1
