Unnamed: 0,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
2352,0,1,-1,1,,2,2,0.40987616220127276,0.5901238377987617,1,0,1,2
2353,0,-1,-1,0,,2,-1,0.36077534032786107,0.639224659672136,1,1,1,2
2354,1,-1,1,0,0.0,2,-1,0.3004358894140231,0.6995641105859803,1,0,1,2
2355,1,1,1,1,0.0,2,2,0.28463659537482583,0.7153634046252181,1,1,1,2
2356,0,1,-1,1,,2,2,0.2843087994572175,0.7156912005427749,1,0,1,2
2357,0,-1,-1,0,,2,-1,0.2759024902110354,0.7240975097889587,1,1,1,2
2358,0,-1,1,0,-3.0,2,-1,0.2628233983902181,0.7371766016097927,0,1,0,2
2359,1,-1,1,1,0.0,2,0,0.20751168541977807,0.7924883145801785,1,0,1,2
2360,1,1,2,1,-10.0,2,2,0.19260150961649608,0.807398490383467,1,1,1,2
2361,1,1,1,2,-2.0,2,3,0.1763231384874881,0.8236768615125213,1,1,1,2
2362,1,1,1,1,0.0,2,2,0.17359848829451371,0.8264015117054482,1,1,1,2
2363,0,1,-1,1,,2,2,0.1829247049006777,0.8170752950993143,1,0,1,2
2364,0,-1,-1,0,,2,-1,0.1848853873622117,0.8151146126377756,1,1,1,2
2365,0,-1,1,0,3.0,2,-1,0.18298775928188116,0.8170122407181555,0,1,0,2
2366,0,-1,-1,1,,2,0,0.15513491447309816,0.8448650855269039,1,1,1,2
2367,1,-1,1,0,-2.0,2,-1,0.1199957826406859,0.8800042173593444,1,0,1,2
2368,0,1,-1,1,,2,2,0.11163096148253786,0.8883690385175155,1,0,1,2
2369,1,-1,1,0,-1.0,2,-1,0.0956247103564268,0.9043752896435248,1,0,1,2
2370,1,1,2,1,10.0,2,2,0.09591965526724677,0.9040803447327834,1,1,1,2
2371,1,1,1,2,3.0,2,3,0.09499099531684572,0.9050090046831397,1,1,1,2
2372,0,1,-1,1,,2,2,0.1032586577185027,0.8967413422815349,1,0,1,2
2373,0,-1,-1,0,,2,-1,0.10534877346640455,0.8946512265336125,1,1,1,2
2374,1,-1,1,0,0.0,2,-1,0.1040987819423444,0.8959012180577047,1,0,1,2
2375,0,1,1,1,2.0,2,2,0.11931239909800541,0.8806876009020468,0,0,0,2
2376,1,-1,1,1,2.0,2,0,0.10933842920339856,0.8906615707965462,1,0,1,2
2377,1,1,2,1,-10.0,2,2,0.1148505059749983,0.8851494940250507,1,1,1,2
2378,0,1,-1,2,,2,3,0.11911492498984079,0.8808850750101529,1,0,1,2
2379,0,-1,-1,0,,2,-1,0.11723506792069154,0.8827649320793038,1,1,1,2
2380,0,-1,-1,0,,2,-1,0.11183263401683738,0.8881673659831237,1,1,1,2
2381,1,-1,1,0,-3.0,2,-1,0.10270723346960356,0.8972927665304417,1,0,1,2
2382,0,1,-1,1,,2,2,0.10854834815545271,0.8914516518445724,1,0,1,2
2383,1,-1,1,0,1.0,2,-1,0.10835249731180359,0.8916475026881671,1,0,1,2
2384,0,1,-1,1,,2,2,0.12554913191249864,0.8744508680874468,1,0,1,2
2385,1,-1,2,0,10.0,2,-1,0.13468986638244204,0.8653101336175758,1,0,1,2
2386,1,1,1,2,-3.0,2,3,0.14209386260373152,0.8579061373962709,1,1,1,2
2387,0,1,-1,1,,2,2,0.16420799603995312,0.8357920039600836,1,0,1,2
2388,1,-1,1,0,1.0,2,-1,0.17681156081024565,0.8231884391897406,1,0,1,2
2389,0,1,-1,1,,2,2,0.22513865079029743,0.7748613492097428,1,0,1,2
2390,1,-1,1,0,3.0,2,-1,0.25671932880977033,0.7432806711901973,1,0,1,2
2391,0,1,-1,1,,2,2,0.35836273570273464,0.6416372642972159,1,0,1,2
2392,1,-1,1,0,-3.0,2,-1,0.42743865328990793,0.5725613467101013,1,0,1,2
2393,0,1,-1,1,,2,2,0.6399414519401793,0.3600585480598705,1,0,1,1
2394,0,-1,-1,0,,2,-1,0.7864377727468239,0.21356222725317422,1,1,1,1
2395,0,-1,1,0,2.0,2,-1,0.908245666153935,0.09175433384608563,0,1,0,1
2396,0,-1,-1,1,,2,0,0.9475458515834871,0.05245414841646969,1,1,1,1
2397,0,-1,1,0,2.0,2,-1,0.9807211701773182,0.019278829822708742,0,1,0,1
2398,0,-1,1,1,2.0,2,0,0.9914044079645065,0.008595592035535993,0,1,0,1
2399,0,-1,1,1,-1.0,2,0,0.9945269241874808,0.0054730758125043355,0,1,0,1
2400,0,-1,-1,1,,2,0,0.9944528837555312,0.0055471162445053495,1,1,1,1
2401,0,-1,-1,0,,2,-1,0.9947374728704628,0.00526252712958184,1,1,1,1
2402,0,-1,-1,0,,2,-1,0.9953912476555367,0.004608752344455511,1,1,1,1
2403,0,-1,-1,0,,2,-1,0.996438458255652,0.003561541744379436,1,1,1,1
2404,0,-1,1,0,3.0,2,-1,0.9979179483354492,0.0020820516645223925,0,1,0,1
2405,0,-1,-1,1,,2,0,0.9978780183104552,0.0021219816896007743,1,1,1,1
2406,0,-1,1,0,-3.0,2,-1,0.9984362400196365,0.0015637599803529744,0,1,0,1
2407,0,-1,-1,1,,2,0,0.9979042294012803,0.0020957705987078032,1,1,1,1
2408,0,-1,-1,0,,2,-1,0.9979733906710092,0.0020266093289569593,1,1,1,1
2409,0,-1,1,0,0.0,2,-1,0.9986462891936384,0.0013537108063292305,0,1,0,1
2410,1,-1,2,1,-10.0,2,0,0.998363501595507,0.0016364984044374942,1,0,1,1
2411,0,1,1,2,0.0,2,3,0.9989604670001021,0.0010395329999333385,0,0,0,1
2412,0,-1,-1,1,,2,0,0.9981337894005089,0.0018662105995329121,1,1,1,1
2413,0,-1,1,0,-1.0,2,-1,0.9979197439976795,0.002080256002272206,0,1,0,1
2414,0,-1,1,1,0.0,2,0,0.9960784877015261,0.003921512298510988,0,1,0,1
2415,1,-1,2,1,-10.0,2,0,0.9900366003778669,0.009963399622132612,1,0,1,1
2416,0,1,-1,2,,2,3,0.9845376924534899,0.015462307546456302,1,0,1,1
2417,0,-1,-1,0,,2,-1,0.9768266121037085,0.02317338789631834,1,1,1,1
2418,0,-1,-1,0,,2,-1,0.9680763944919956,0.03192360550802849,1,1,1,1
2419,0,-1,1,0,-1.0,2,-1,0.9579624721243889,0.04203752787555754,0,1,0,1
2420,0,-1,1,1,2.0,2,0,0.9239733701066829,0.07602662989336752,0,1,0,1
2421,0,-1,-1,1,,2,0,0.8186044365093262,0.1813955634906181,1,1,1,1
2422,1,-1,1,0,1.0,2,-1,0.6919933726348508,0.30800662736512063,1,0,1,1
2423,1,1,2,1,-10.0,2,2,0.6524618026461344,0.3475381973538572,1,1,1,1
2424,1,1,1,2,-1.0,2,3,0.6117624157735625,0.3882375842264839,1,1,1,1
2425,0,1,-1,1,,2,2,0.5965073529472892,0.40349264705273136,1,0,1,1
2426,0,-1,1,0,2.0,2,-1,0.5703094178603222,0.4296905821396214,0,1,0,1
2427,1,-1,1,1,-3.0,2,0,0.47915654543065317,0.5208434545693355,1,0,1,2
2428,1,1,1,1,0.0,2,2,0.45246606884473123,0.5475339311552958,1,1,1,2
2429,1,1,1,1,-1.0,2,2,0.4457768742050005,0.5542231257950557,1,1,1,2
2430,1,1,2,1,10.0,2,2,0.4553993561951734,0.5446006438048017,1,1,1,2
2431,0,1,-1,2,,2,3,0.464156757195978,0.5358432428039943,1,0,1,2
2432,0,-1,-1,0,,2,-1,0.46440744075482854,0.5355925592451575,1,1,1,2
2433,0,-1,-1,0,,2,-1,0.4604169490133327,0.5395830509866317,1,1,1,2
2434,1,-1,1,0,3.0,2,-1,0.45203726463503585,0.547962735365019,1,0,1,2
2435,0,1,-1,1,,2,2,0.4696613430437353,0.5303386569562191,1,0,1,2
2436,0,-1,-1,0,,2,-1,0.4777033655999044,0.5222966344001363,1,1,1,2
2437,1,-1,1,0,-3.0,2,-1,0.481397198594824,0.518602801405211,1,0,1,2
2438,1,1,1,1,-1.0,2,2,0.5177403048893299,0.48225969511071565,1,1,1,1
2439,0,1,-1,1,,2,2,0.5977903174615969,0.40220968253843575,1,0,1,1
2440,0,-1,1,0,-2.0,2,-1,0.6520980029889127,0.34790199701107793,0,1,0,1
2441,1,-1,2,1,10.0,2,0,0.6645378891445984,0.3354621108554268,1,0,1,1
2442,0,1,-1,2,,2,3,0.6758875242933243,0.3241124757066819,1,0,1,1
2443,1,-1,1,0,2.0,2,-1,0.6793595261178206,0.3206404738821667,1,0,1,1
2444,0,1,-1,1,,2,2,0.7139122585325076,0.28608774146754473,1,0,1,1
2445,0,-1,-1,0,,2,-1,0.7360717157115979,0.26392828428845516,1,1,1,1
2446,0,-1,-1,0,,2,-1,0.7534906994215582,0.24650930057845738,1,1,1,1
2447,1,-1,2,0,-10.0,2,-1,0.7668153234096625,0.2331846765902846,1,0,1,1
2448,0,1,-1,2,,2,3,0.7793292993100284,0.22067070068994393,1,0,1,1
2449,1,-1,1,0,-3.0,2,-1,0.7847699752276902,0.21523002477235761,1,0,1,1
2450,0,1,-1,1,,2,2,0.820315525828768,0.1796844741712202,1,0,1,1
2451,0,-1,1,0,0.0,2,-1,0.8439204413833838,0.15607955861661368,0,1,0,1
2452,1,-1,1,1,3.0,2,0,0.8452946257983368,0.15470537420164218,1,0,1,1
2453,0,1,1,1,3.0,2,2,0.8702020066989121,0.1297979933011184,0,0,0,1
2454,0,-1,-1,1,,2,0,0.8670999397437904,0.13290006025623324,1,1,1,1
2455,1,-1,1,0,-3.0,2,-1,0.8617881337625415,0.13821186623750267,1,0,1,1
2456,1,1,1,1,-3.0,2,2,0.875492688312715,0.12450731168728817,1,1,1,1
2457,0,1,1,1,3.0,2,2,0.9098851701021103,0.09011482989785007,0,0,0,1
2458,1,-1,2,1,10.0,2,0,0.9129083638307549,0.08709163616929337,1,0,1,1
2459,1,1,1,2,0.0,2,3,0.9159909885344155,0.08400901146561497,1,1,1,1
2460,1,1,1,1,2.0,2,2,0.9309928749250392,0.06900712507492825,1,1,1,1
2461,0,1,1,1,0.0,2,2,0.9661887171568785,0.03381128284310748,0,0,0,1
2462,0,-1,-1,1,,2,0,0.9724403251829058,0.027559674817054475,1,1,1,1
2463,0,-1,1,0,-1.0,2,-1,0.9778798434276224,0.022120156572364404,0,1,0,1
2464,0,-1,-1,1,,2,0,0.9762930152414065,0.02370698475857337,1,1,1,1
2465,0,-1,-1,0,,2,-1,0.9743380206682749,0.02566197933166904,1,1,1,1
