,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
6219,1,-1,1,1,2.0,15,0,0.9736544429036956,0.0263455570962551,1
6220,0,1,-1,1,,15,2,0.9770416689531564,0.022958331046829,1
6221,0,-1,1,0,0.0,15,-1,0.9790541185322136,0.020945881467834,0
6222,1,-1,1,1,3.0,15,0,0.9731819036333272,0.0268180963666067,1
6223,0,1,-1,1,,15,2,0.9789150563710238,0.0210849436289917,1
6224,1,-1,2,0,10.0,15,-1,0.9830512215723544,0.0169487784276809,1
6225,0,1,-1,2,,15,3,0.987933446009144,0.0120665539909252,1
6226,0,-1,1,0,1.0,15,-1,0.9918108780689756,0.0081891219309629,0
6227,0,-1,-1,1,,15,0,0.9911267469553688,0.0088732530447282,1
6228,0,-1,-1,0,,15,-1,0.9908657132966076,0.0091342867033681,1
6229,1,-1,2,0,-10.0,15,-1,0.9910186675071792,0.0089813324927141,1
6230,0,1,-1,2,,15,3,0.9921431451041424,0.00785685489589,1
6231,0,-1,-1,0,,15,-1,0.993061373541478,0.00693862645841,1
6232,0,-1,-1,0,,15,-1,0.9944829812669844,0.0055170187329065,1
6233,0,-1,1,0,-3.0,15,-1,0.9964575797279004,0.0035424202721089,0
6234,0,-1,-1,1,,15,0,0.9959573602862354,0.0040426397138074,1
6235,0,-1,1,0,2.0,15,-1,0.996175813267605,0.0038241867323402,0
6236,0,-1,-1,1,,15,0,0.9936747210490008,0.0063252789511109,1
6237,0,-1,-1,0,,15,-1,0.9916357922303392,0.0083642077696555,1
6238,0,-1,-1,0,,15,-1,0.9899878720146162,0.0100121279852901,1
6239,0,-1,-1,0,,15,-1,0.9886734510725772,0.0113265489273566,1
6240,0,-1,-1,0,,15,-1,0.9876466585747674,0.0123533414251204,1
6241,0,-1,1,0,1.0,15,-1,0.9868716613862034,0.0131283386138002,0
6242,0,-1,-1,1,,15,0,0.9789775839525008,0.0210224160476064,1
6243,1,-1,2,0,-10.0,15,-1,0.970361124294486,0.0296388757054473,1
6244,1,1,1,2,-2.0,15,3,0.9621909003739566,0.0378090996260526,1
6245,0,1,-1,1,,15,2,0.9648954099726826,0.0351045900272572,1
6246,0,-1,1,0,-2.0,15,-1,0.9657186736986486,0.034281326301423,0
6247,0,-1,1,1,3.0,15,0,0.9554063878407408,0.0445936121592004,0
6248,0,-1,1,1,-1.0,15,0,0.9187037682266386,0.0812962317733467,0
6249,0,-1,-1,1,,15,0,0.8013172713577806,0.1986827286423235,1
6250,0,-1,-1,0,,15,-1,0.6614226346587768,0.3385773653411368,1
6251,0,-1,-1,0,,15,-1,0.4941377973005793,0.5058622026993224,1
6252,1,-1,1,0,3.0,15,-1,0.2936248317459065,0.7063751682540408,1
6253,1,1,2,1,-10.0,15,2,0.2337021347108793,0.7662978652891634,1
6254,1,1,1,2,-1.0,15,3,0.170590474228384,0.8294095257715746,1
6255,1,1,1,1,-1.0,15,2,0.1479837582479622,0.8520162417521472,1
6256,0,1,-1,1,,15,2,0.1450788376475303,0.854921162352414,1
6257,0,-1,1,0,-1.0,15,-1,0.1350471920713938,0.8649528079286852,0
6258,1,-1,2,1,10.0,15,0,0.0872518893133585,0.9127481106866052,1
6259,1,1,1,2,0.0,15,3,0.0349674632188492,0.965032536781158,1
6260,1,1,1,1,-1.0,15,2,0.0142513811325857,0.985748618867492,1
6261,1,1,1,1,3.0,15,2,0.0060402927989673,0.99395970720105,1
6262,1,1,1,1,2.0,15,2,0.0027781916221725,0.997221808377789,1
6263,1,1,1,1,0.0,15,2,0.001463227298488,0.9985367727014466,1
6264,1,1,1,1,3.0,15,2,0.0008853435358166,0.9991146564642388,1
6265,1,1,1,1,-3.0,15,2,0.0005127602162322,0.9994872397836836,1
6266,1,1,-1,1,,15,2,2.6187677776812027e-06,0.9999973812321242,0
6267,0,1,-1,0,,15,1,0.0119900063451419,0.9880099936548036,1
6268,1,-1,2,0,-10.0,15,-1,0.0191463632823901,0.9808536367175446,1
6269,0,1,-1,2,,15,3,0.0244254152666896,0.9755745847333952,1
6270,0,-1,-1,0,,15,-1,0.0256900113282559,0.9743099886717328,1
6271,0,-1,-1,0,,15,-1,0.0242507571167681,0.9757492428832204,1
6272,0,-1,-1,0,,15,-1,0.0200574253556379,0.9799425746443188,1
6273,1,-1,2,0,10.0,15,-1,0.0129636766195789,0.9870363233804276,1
6274,1,1,1,2,0.0,15,3,0.0039407827312003,0.9960592172689084,1
6275,1,1,-1,1,,15,2,1.5880881923752992e-06,0.9999984119118712,0
6276,0,1,-1,0,,15,1,0.001293634271747,0.9987063657282416,1
6277,1,-1,1,0,-2.0,15,-1,0.0006693998439573,0.999330600156058,1
6278,1,1,1,1,2.0,15,2,0.0004506807696465,0.999549319230436,1
6279,1,1,-1,1,,15,2,5.442954272145495e-07,0.999999455704631,0
6280,1,1,2,0,10.0,15,1,0.0021165262531294,0.9978834737468932,1
6281,1,1,1,2,2.0,15,3,0.0028190522729445,0.9971809477270476,1
6282,1,1,1,1,-1.0,15,2,0.0051246604045999,0.9948753395952962,1
6283,0,1,-1,1,,15,2,0.011155017051181,0.988844982948759,1
6284,1,-1,1,0,-2.0,15,-1,0.0136869007038239,0.9863130992960872,1
6285,0,1,-1,1,,15,2,0.0256421335750211,0.9743578664250484,1
6286,0,-1,-1,0,,15,-1,0.0323796139758568,0.967620386024099,1
6287,1,-1,1,0,2.0,15,-1,0.0360124513421138,0.9639875486577948,1
6288,0,1,1,1,1.0,15,2,0.0555720484115672,0.944427951588534,0
6289,1,-1,1,1,2.0,15,0,0.0513390025680681,0.9486609974320358,1
6290,0,1,-1,1,,15,2,0.060301229297589,0.9396987707024969,1
