response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
0,-1,-1.0,0,,1,-1,0.9928350954734584,0.007164904526523849,1,1,1,1
1,-1,1.0,0,-3.0,1,-1,0.9949926930933972,0.005007306906635228,1,0,1,1
0,1,1.0,1,-2.0,1,2,0.9958167668494301,0.004183233150585893,0,0,0,1
1,-1,2.5,1,-10.0,1,0,0.9936518642405132,0.0063481357594569075,1,0,1,1
0,1,-1.0,2,,1,3,0.9921941762161652,0.007805823783866674,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9882979212267403,0.011702078773303362,1,1,1,1
0,-1,-1.0,0,,1,-1,0.987906572335392,0.012093427664653258,1,1,1,1
1,-1,1.0,0,0.0,1,-1,0.991008811203956,0.008991188796090696,1,0,1,1
1,1,2.5,1,10.0,1,2,0.9915509065890836,0.008449093410951406,1,0,1,1
0,1,1.0,2,-2.0,1,3,0.9944562030258625,0.005543796974165797,0,0,0,1
1,-1,1.0,1,3.0,1,0,0.9935312503966545,0.006468749603368705,1,0,1,1
1,1,1.0,1,2.0,1,2,0.9907339529751612,0.009266047024790076,1,0,1,1
0,1,-1.0,1,,1,2,0.991295172110546,0.008704827889486476,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9895154712055223,0.010484528794446507,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9911386619303864,0.008861338069669494,1,0,1,1
0,1,-1.0,2,,1,3,0.9931890942959297,0.006810905704084421,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9933873233958174,0.00661267660418164,1,0,1,1
1,1,1.0,1,0.0,1,2,0.9918391261355612,0.00816087386443502,1,0,1,1
0,1,-1.0,1,,1,2,0.9935777267077406,0.006422273292236637,1,0,1,1
1,-1,1.0,0,0.0,1,-1,0.9936098003632364,0.006390199636747082,1,0,1,1
0,1,-1.0,1,,1,2,0.9919524619052171,0.00804753809479843,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9877213399997105,0.012278660000309322,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9870331731113431,0.01296682688861694,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.989868058524961,0.010131941475016306,1,0,1,1
0,1,-1.0,1,,1,2,0.989915374439306,0.010084625560668322,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9872003690697855,0.01279963093023172,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9879992353975626,0.012000764602486067,1,0,1,1
0,1,1.0,2,0.0,1,3,0.9889720746564133,0.011027925343538985,0,0,0,1
0,-1,1.0,1,1.0,1,0,0.9833790315313944,0.01662096846857175,0,1,0,1
1,-1,1.0,1,1.0,1,0,0.9881824217604382,0.011817578239521726,1,0,1,1
0,1,-1.0,1,,1,2,0.9894998849565718,0.01050011504343957,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9880344318284605,0.01196556817152905,1,1,1,1
1,-1,1.0,0,0.0,1,-1,0.9900390725220104,0.009960927478033621,1,0,1,1
0,1,-1.0,1,,1,2,0.9893737848616814,0.010626215138308179,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9856835651169886,0.014316434883008452,1,1,1,1
1,-1,1.0,0,0.0,1,-1,0.9855925235207911,0.014407476479225974,1,0,1,1
1,1,2.5,1,-10.0,1,2,0.9816841779980126,0.018315822002006755,1,0,1,1
1,1,1.0,2,1.0,1,3,0.9801113456927766,0.01988865430721955,1,0,1,1
1,1,1.0,1,1.0,1,2,0.9823014682670093,0.017698531732933925,1,0,1,1
0,1,-1.0,1,,1,2,0.9883178870218688,0.011682112978078214,1,0,1,1
1,-1,1.0,0,2.0,1,-1,0.9905725713590512,0.009427428640910332,1,0,1,1
0,1,-1.0,1,,1,2,0.9902686419719158,0.009731358028047258,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.9872439192910846,0.012756080708913566,1,0,1,1
1,1,1.0,1,2.0,1,2,0.9798843829460716,0.02011561705395344,1,0,1,1
0,1,-1.0,1,,1,2,0.9765093417053204,0.023490658294688757,1,0,1,1
1,-1,1.0,0,3.0,1,-1,0.9665500318568339,0.03344996814316638,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9446920723260278,0.05530792767394453,1,0,1,1
1,1,2.5,1,10.0,1,2,0.92875099126529,0.07124900873466157,1,0,1,1
0,1,-1.0,2,,1,3,0.9149777881842098,0.08502221181576791,1,0,1,1
0,-1,-1.0,0,,1,-1,0.8819543076004744,0.1180456923995092,1,1,1,1
0,-1,-1.0,0,,1,-1,0.856435786903541,0.14356421309641035,1,1,1,1
0,-1,-1.0,0,,1,-1,0.8376841960301772,0.16231580396982642,1,1,1,1
0,-1,-1.0,0,,1,-1,0.8251572136614039,0.17484278633858208,1,1,1,1
0,-1,-1.0,0,,1,-1,0.8184925425583024,0.18150745744173277,1,1,1,1
1,-1,1.0,0,3.0,1,-1,0.8174974314365859,0.18250256856345348,1,0,1,1
0,1,-1.0,1,,1,2,0.7973900508018085,0.2026099491981789,1,0,1,1
0,-1,-1.0,0,,1,-1,0.7474409138994431,0.2525590861005393,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.707062728586835,0.29293727141321346,1,0,1,1
1,1,1.0,1,0.0,1,2,0.6179144929146442,0.38208550708535743,1,0,1,1
0,1,-1.0,1,,1,2,0.5430543449693559,0.4569456550305985,1,0,1,1
0,-1,1.0,0,3.0,1,-1,0.3850558199776467,0.6149441800223153,0,1,0,2
0,-1,-1.0,1,,1,0,0.32345735328439124,0.6765426467156571,1,1,1,2
0,-1,-1.0,0,,1,-1,0.27116916636423516,0.7288308336358098,1,1,1,2
0,-1,1.0,0,3.0,1,-1,0.22667901427315174,0.7733209857268388,0,1,0,2
0,-1,-1.0,1,,1,0,0.21606058274757292,0.7839394172523984,1,1,1,2
0,-1,1.0,0,0.0,1,-1,0.20871608505580233,0.7912839149442018,0,1,0,2
0,-1,-1.0,1,,1,0,0.22609916779220535,0.7739008322077492,1,1,1,2
0,-1,1.0,0,-2.0,1,-1,0.24758029504736703,0.7524197049526132,0,1,0,2
0,-1,-1.0,1,,1,0,0.31357306902561033,0.6864269309743629,1,1,1,2
0,-1,-1.0,0,,1,-1,0.39084499684643703,0.6091550031535126,1,1,1,2
0,-1,1.0,0,-1.0,1,-1,0.4816308869636621,0.5183691130363368,0,1,0,2
1,-1,2.5,1,-10.0,1,0,0.7093333336823106,0.29066666631765464,1,0,1,1
0,1,1.0,2,-2.0,1,3,0.8813725624832521,0.11862743751675082,0,0,0,1
1,-1,1.0,1,1.0,1,0,0.9361661780744585,0.063833821925561,1,0,1,1
0,1,1.0,1,-1.0,1,2,0.9626799694978815,0.03732003050214236,0,0,0,1
1,-1,1.0,1,-1.0,1,0,0.9686380345840353,0.0313619654160048,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.967915326650089,0.03208467334986099,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9712998862144382,0.028700113785571784,1,0,1,1
1,1,2.5,1,-10.0,1,2,0.9788895993079784,0.021110400692067384,1,0,1,1
0,1,1.0,2,-1.0,1,3,0.9888235924131932,0.011176407586811859,0,0,0,1
1,-1,1.0,1,2.0,1,0,0.9905811545190458,0.009418845480985543,1,0,1,1
0,1,1.0,1,-2.0,1,2,0.9898161632788097,0.010183836721191717,0,0,0,1
0,-1,1.0,1,-1.0,1,0,0.9820550955509113,0.017944904449057074,0,1,0,1
1,-1,1.0,1,-3.0,1,0,0.9852066830385848,0.014793316961369025,1,0,1,1
1,1,2.5,1,10.0,1,2,0.9845555472113697,0.015444452788685128,1,0,1,1
1,1,1.0,2,-3.0,1,3,0.986246613998819,0.01375338600115056,1,0,1,1
0,1,-1.0,1,,1,2,0.9915955355923746,0.008404464407642776,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.9939923890359239,0.006007610964037462,1,0,1,1
0,1,-1.0,1,,1,2,0.9947161577906765,0.005283842209334828,1,0,1,1
1,-1,1.0,0,1.0,1,-1,0.994153051647234,0.005846948352808238,1,0,1,1
1,1,1.0,1,-1.0,1,2,0.9920025918898926,0.007997408110087827,1,0,1,1
0,1,-1.0,1,,1,2,0.9931332565437664,0.006866743456250481,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9924628672198277,0.007537132780164437,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.9950568398475403,0.004943160152507552,1,0,1,1
0,1,1.0,1,3.0,1,2,0.9962528497170876,0.0037471502829053384,0,0,0,1
1,-1,1.0,1,0.0,1,0,0.9947864670959313,0.005213532904018757,1,0,1,1
1,1,2.5,1,10.0,1,2,0.991742279985666,0.008257720014357274,1,0,1,1
1,1,1.0,2,0.0,1,3,0.991062013387954,0.008937986611993628,1,0,1,1
0,1,-1.0,1,,1,2,0.9937207405523278,0.006279259447725071,1,0,1,1
1,-1,1.0,0,2.0,1,-1,0.9945844016964632,0.005415598303488273,1,0,1,1
0,1,-1.0,1,,1,2,0.9941138545015615,0.005886145498423821,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9920580105742446,0.007941989425750712,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9932792019129837,0.006720798087029702,1,0,1,1
0,1,-1.0,2,,1,3,0.9951834281303963,0.004816571869600702,1,0,1,1
1,-1,1.0,0,0.0,1,-1,0.9958564012070251,0.0041435987929342695,1,0,1,1
0,1,1.0,1,0.0,1,2,0.9956572258838381,0.004342774116168246,0,0,0,1
1,-1,1.0,1,0.0,1,0,0.9920765506386,0.007923449361381002,1,0,1,1
1,1,2.5,1,10.0,1,2,0.9851095133163594,0.014890486683643843,1,0,1,1
1,1,1.0,2,-1.0,1,3,0.9804973802348972,0.019502619765117333,1,0,1,1
1,1,1.0,1,2.0,1,2,0.979693401796128,0.020306598203910436,1,0,1,1
0,1,-1.0,1,,1,2,0.9826743258583723,0.01732567414167465,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9813872572527141,0.01861274274727957,1,1,1,1
1,-1,1.0,0,-3.0,1,-1,0.9838234037585681,0.01617659624138718,1,0,1,1
0,1,-1.0,1,,1,2,0.9822323494622863,0.017767650537736678,1,0,1,1
0,-1,-1.0,0,,1,-1,0.975765092879646,0.02423490712033922,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9733297602350407,0.026670239764926367,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9748559184212292,0.025144081578773757,1,0,1,1
1,1,1.0,2,-3.0,1,3,0.9755650571858157,0.024434942814235017,1,0,1,1
