,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
1200,0,1,1.0,1,-2.0,1,2,0.9610314534674232,0.0389685465325891,0,0,0,1
1201,0,-1,-1.0,1,,1,0,0.9595875968817148,0.0404124031183377,1,1,1,1
1202,0,-1,-1.0,0,,1,-1,0.962424509799302,0.0375754902006967,1,1,1,1
1203,1,-1,2.5,0,10.0,1,-1,0.9696242395711028,0.0303757604288484,1,0,1,1
1204,1,1,1.0,2,-2.0,1,3,0.9752529867596552,0.0247470132403229,1,0,1,1
1205,0,1,-1.0,1,,1,2,0.9851805395570178,0.0148194604430324,1,0,1,1
1206,1,-1,1.0,0,-1.0,1,-1,0.9896185663593534,0.0103814336406514,1,0,1,1
1207,0,1,-1.0,1,,1,2,0.9909352398620996,0.0090647601379012,1,0,1,1
1208,1,-1,1.0,0,0.0,1,-1,0.9898331493862488,0.0101668506137464,1,0,1,1
1209,1,1,1.0,1,-3.0,1,2,0.9857242091250306,0.0142757908749771,1,0,1,1
1210,1,1,1.0,1,0.0,1,2,0.9852287299818367,0.0147712700181658,1,0,1,1
1211,0,1,-1.0,1,,1,2,0.988332382031071,0.0116676179689256,1,0,1,1
1212,1,-1,-1.0,0,,1,-1,0.9882752586533692,0.0117247413466081,0,0,0,1
1213,1,1,2.5,0,-10.0,1,1,0.980926933756109,0.0190730662439043,1,0,1,1
1214,1,1,1.0,2,-3.0,1,3,0.9759205417963333,0.0240794582036991,1,0,1,1
1215,1,1,1.0,1,-1.0,1,2,0.9748687036505574,0.0251312963493974,1,0,1,1
1216,0,1,-1.0,1,,1,2,0.9777409987400644,0.0222590012599472,1,0,1,1
1217,0,-1,-1.0,0,,1,-1,0.9754924204149616,0.0245075795850618,1,1,1,1
1218,0,-1,-1.0,0,,1,-1,0.97714526060112,0.0228547393989021,1,1,1,1
1219,1,-1,2.5,0,-10.0,1,-1,0.9827473216677434,0.0172526783323012,1,0,1,1
1220,0,1,-1.0,2,,1,3,0.9876988508904224,0.0123011491096339,1,0,1,1
1221,0,-1,-1.0,0,,1,-1,0.9890401483105804,0.010959851689453,1,1,1,1
1222,1,-1,-1.0,0,,1,-1,0.9939056273886302,0.0060943726113993,0,0,0,1
1223,0,1,1.0,0,-1.0,1,1,0.9942033056145548,0.0057966943854371,0,0,0,1
1224,0,-1,-1.0,1,,1,0,0.9903573781441796,0.0096426218557999,1,1,1,1
1225,1,-1,2.5,0,10.0,1,-1,0.9899253753618998,0.010074624638118,1,0,1,1
1226,0,1,-1.0,2,,1,3,0.9898652100045284,0.0101347899954288,1,0,1,1
1227,0,-1,-1.0,0,,1,-1,0.9870149071036844,0.0129850928962732,1,1,1,1
1228,1,-1,-1.0,0,,1,-1,0.9876887191616238,0.0123112808383939,0,0,0,1
1229,1,1,1.0,0,0.0,1,1,0.9811470333262672,0.0188529666737656,1,0,1,1
1230,1,1,2.5,1,-10.0,1,2,0.978498806048091,0.0215011939519408,1,0,1,1
1231,1,1,1.0,2,1.0,1,3,0.978173885725419,0.021826114274595,1,0,1,1
1232,1,1,1.0,1,2.0,1,2,0.9816909426568804,0.0183090573430999,1,0,1,1
1233,0,1,-1.0,1,,1,2,0.9891516948763064,0.0108483051236912,1,0,1,1
1234,1,-1,-1.0,0,,1,-1,0.9925534620169824,0.0074465379829734,0,0,0,1
1235,0,1,1.0,0,1.0,1,1,0.9911645482572156,0.0088354517427609,0,0,0,1
1236,0,-1,-1.0,1,,1,0,0.9830057343014408,0.0169942656985809,1,1,1,1
1237,0,-1,-1.0,0,,1,-1,0.978811076554004,0.0211889234459585,1,1,1,1
1238,0,-1,-1.0,0,,1,-1,0.9784592598511348,0.021540740148899,1,1,1,1
1239,1,-1,2.5,0,-10.0,1,-1,0.981940109178638,0.0180598908213154,1,0,1,1
1240,0,1,-1.0,2,,1,3,0.9849535911537058,0.0150464088462975,1,0,1,1
